,ID,Name,Location,Grade,Faculty_Title,"Join
Date",Study_Type,Divison,Reports To,"Highest
Qualification
Level",Highest Qualification,Major,University,Courses Taught- Term 201510,MAJOR TEACHING FIELD,Criteria
10,LT9305239,Ralph Mellor,Liverpool,FA,Faculty - Business,12-Nov-14,Full Time,Business,Abbas Houda,Masters,Master of Science,Public Admin and Public Policy,Universityersity of London,"BUS4373 - Strategic HRM
BUS3203 - Strat Management Busi Simulation",Business Administration and Strategy,Industry and Teaching experience
11,LT9330949,Max Patley,Liverpool,FA,Faculty - Business,27-Sep-15,Full Time,Business,Abbas Houda,Ph.D,Doctorate in Business Administration,Finance and Economics,Nagpur Universityersity,"BUS4373 - Strategic HRM
BUS3203 - Strat Management Busi Simulation",Business,Industry and Teaching experience
12,LT9283220,Seth Ripperton,Liverpool,FA,Faculty - Business,17-Aug-14,Full Time,Business,Abbas Houda,Doctorate,Ph.D in Business Administration,Commerce and Management Studies,Andhra Universityesity,"BUS4956 - Integrative Industry Projectect
BUS4533 - Int'l Quality Management System",Business Management or Human Resource Management or Marketing Management,Industry and Teaching experience
13,LT9278625,Jane Peters,Liverpool,FA,Faculty - Business,18-Aug-13,Full Time,Business,Abbas Houda,Masters,Master of Business Administration,Business Administration,Universityersity of Ibadan,"BUS3103 - Internat Busi Globalisation
BUS1203 - Software Apps for Business
BUS1303 - Marketing",Business,Industry and Teaching experience
14,LT9000017,Ishraq Ali,Liverpool,FA,Faculty - Business,26-Aug-12,Full Time,Business,Abbas Houda,Masters,Master of Business Administration,General Business Admin,The Universityersity of Hull,"BUS2003 - Business and Commercial Law
BUS2913 - Sustaining Cultural Identity",  (in : General Business Admin)& Bachelor ( in:Economics),Industry and Teaching experience
15,LT9001326,Jack Kloss,Liverpool,FA,Faculty - Business,14-Aug-97,Full Time,Business,Abbas Houda,Masters,Master of Business Administration,Public Administration,Universityersity of Birmingham,"BUS3003 - Managing People &Organisations
BUS1003 - Management and Leadership
BUS1303 - Marketing",Business Administration,Industry and Teaching experience
16,LT9216378,Rob Nestor,Liverpool,FA,Faculty - Business,02-Feb-11,Full Time,Business,Abbas Houda,Masters,Master of Business Administration,Business Management,Universityersity of KwaZulu-Natal,"BUS4143 - IFRS
BUS4123 - Auditing
BUS1503 - Accounting for Managers",Accountingor General Business,Industry and Teaching experience
17,LT9303928,Delroy Smith,Liverpool,FA,Faculty - Business,21-Sep-14,Full Time,Business,Abbas Houda,Doctorate,Ph.D in Business Administration,Economics,Universityersityof Kerala,"BUS2203 - Business Stats for Managers
BUS3003 - Managing People &Organisations
BUS1403 - Business Ethics and Corporate
BUS4513 - Strat Decisions with Management School",Economics or General Management,Researcher
18,LT9251383,Harry Distel,Liverpool,FA,Faculty - Business,26-Aug-12,Full Time,Business,Abbas Houda,Masters,Master of Business Administration,Business Education,Friedrich-Schiller-University Jena,"BUS2303 - Financial Management
BUS3406 - Work Related Learning
BUS4113 - Financial Accounting I",Business (Management or Finance or Accounting),Industry and Teaching experience
19,LT9280999,Ludmilla Sirnov,Liverpool,FA,Adjunct Faculty - Business,23-Aug-15,Full Time,Business,Abbas Houda,Masters,Master of Business Administration,Business Administration,,"BUS3903 - Contemporary Business
BUS1403 - Business Ethics and Corporate", Business Administrationor Management,Industry and Teaching experience
20,LT9305042,Imran Afridi,Liverpool,FA,Faculty - Business,12-Oct-14,Full Time,Business,Abbas Houda,Doctorate,Ph.D in Business Administration,Finance,Mohammad Ali Jinnah Universityersity,"BUS2203 - Business Stats for Managers
BUS4153 - Financial Accounting II
BUS1503 - Accounting for Managers",Business (Economics or Finance),Industry and Teaching experience
21,LT9002264,Vish Singh,Liverpool,FA,Adjunct Faculty - Business,23-Aug-15,Full Time,Business,John Mwangi,Masters,Master of Business Administration,Human Resource Management,Charles Sturt Universityersity,,Business,Industry and Teaching experience
22,LT9329002,Mo Abdul,Liverpool,FA,Faculty - Business,09-Aug-15,Full Time,Business,John Mwangi,Masters,Master of Business Administration,Human Resource Management,The Universityersity of Bolton,,Business,Industry and Teaching experience
23,LTWASNULLL,Kojo Mensah,Liverpool,FA,Faculty - Business,14-Aug-16,Full Time,Business,Abbas Houda,Ph.D,Ph.D in Business Administration,Economics and Management,"Jackson State Universityersity, USA","Operations Management, Economics, Financial institutions, Financial Management",Economics & management,Industry and Teaching experience
24,LTWASNULLL,Fettoum Alli,Liverpool,FA,Faculty - Business,14-Aug-16,Full Time,Business,Abbas Houda,Ph.D,Ph.D in Business Administration,Finance,"Universityersity of Paris Sud 11, France","Finance Accounting, Financial Management, Corporate Finance, Financial Markets.",Finance,Industry and Teaching experience
25,LT9284483,Alvin Ryder,Manchester,FA,Faculty - Business,15-Apr-14,Full Time,Business,Ian Varley,Masters,Master of Commerce,Commerce and Accounting,Universityersity of Delhi,"LSS2103 - Personal Finance
BUS4163 - Taxation
BUS4133 - Managerial Accounting I",Accounting & Finance or Investment Management  or Business & Corporate Laws,Industry and Teaching experience
26,LT9303960,Chris Kotler,Manchester,FA,Faculty - Business,22-Sep-14,Full Time,Business,Ian Varley,Masters,Master of Business Administration,Executive Business Administration,RMIT Universityersity,"BUS3406 - Work Related Learning
BUS2003 - Business and Commercial Law
LSS2103 - Personal Finance",Law or Business Administration,Certification
27,LT9299279,Merlyn Fernandes,Manchester,FA,Faculty - Business,17-Aug-14,Full Time,Business,Ian Varley,Masters,Master of Business Administration,Human Resource Management,Bharathiar Universityersity,"BUS3003 - Managing People &Organisations
BUS3406 - Work Related Learning
BUS1303 - Marketing",Management or Human Resource Management&Marketing,Industry and Teaching experience
28,LT9304864,Justina Kelly,Manchester,FA,Faculty - Business,28-Sep-14,Full Time,Business,Ian Varley,Doctorate,Ph.D in Business Administration,Psychology,Universityersityof Kerala,"LSS2533 - Research Methods
BUS3406 - Work Related Learning
BUS1203 - Software Apps for Business
BUS3203 - Strat Management Busi Simulation",Business Administration,Industry and Teaching experience
29,LT9305872,Mariam Ahmed,Manchester,FA,Faculty - Business,18-Jan-15,Full Time,Business,Ian Varley,Masters,Master of Commerce,Labor Management,SNDT Women's Universityersity,"LSM1003 - Applied Mathematics
BUS3406 - Work Related Learning
BUS1103 - Economics for Managers",Business,Industry and Teaching experience
30,LT9281224,Donald West,Manchester,FA,Faculty - Business,04-Nov-13,Full Time,Business,Ian Varley,Masters,Master of Business Administration,International Business,Universityersity of Wollongong,"LSS2533 - Research Methods
BUS3903 - Contemporary Business
BUS3406 - Work Related Learning
BUS1203 - Software Apps for Business",Business AdminstrationorHuman Resource Management,Industry and Teaching experience
31,LT9237572,Richard Baynor,Manchester,FA,Faculty - Business,11-Mar-12,Full Time,Business,Ian Varley,Masters,Master of Business Administration,Business Administration,Loyola Universityersity of Chicago,"LSM1003 - Applied Mathematics
BUS1103 - Economics for Managers
BUS1403 - Business Ethics and Corporate",Finance or Economics & International Business,Industry and Teaching experience
32,LT9251121,Juila Demetris,Manchester,FA,Faculty - Business,26-Aug-12,Full Time,Business,Ian Varley,Masters,Master of Business Administration,Leadership and Management,Brenau Universityersity,"BUS2403 - Innovation & Entrepreneurship
BUS3406 - Work Related Learning
BUS4573 - Advanced Strategic Management
CSD2023 - Intermediate Risk Management
CSD2102 - Customs Administration Project I",Business Adminstration - Leadership,Industry and Teaching experience
33,LT9251119,Rick Salter,Manchester,FA,Faculty - Business,26-Aug-12,Full Time,Business,Ian Varley,Doctorate,Ph.D in Business Administration,Commerce,Universityersity of South Africa,"BUS3103 - Internat Busi Globalisation
LSM1003 - Applied Mathematics
BUS2103 - Operations Management",Business Administrationor Supply Chain management,Industry and Teaching experience
34,LT9284377,Jake Fisher,Manchester,FA,Faculty-Business (HR & Admin.),06-Apr-14,Full Time,Business,Ian Varley,Masters,Master of Business Administration,Business Management,The Universityersity of Warwick,"BUS2933 - Macroeconomics
LSS2103 - Personal Finance",Internal Business or Strategy or Marketing,Industry and Teaching experience
35,LT9285255,Claudette Pierce,Manchester,FA,Faculty - Business,01-Jun-14,Full Time,Business,Ian Varley,Masters,Master of Business Administration,Business Management,Universityersity of Keele,"BUS3103 - Internat Busi Globalisation
BUS2403 - Innovation & Entrepreneurship",Business management,Industry and Teaching experience
36,LT9216320,Mark Morrow,Manchester,FA,Faculty - Business,30-Jan-11,Full Time,Business,Ian Varley,Masters,Master of Business Administration,International Marketing,Syddansk Universityersity,"BUS4533 - Int'l Quality Management System
BUS3406 - Work Related Learning
BUS1203 - Software Apps for Business
BUS1303 - Marketing",International Marketing,Industry and Teaching experience
37,LT9254788,Piers Southley,Manchester,FA,Faculty - Business,12-Sep-12,Full Time,Business,Ian Varley,Masters,Master of Business Administration,International Management,Thunderbird Sch.ofGlobal Mgmt.,"LSH2203 - Critical Thinking
BUS4563 - Strategic Marketing Management
BUS3203 - Strat Management Busi Simulation",International Management and International Brand Management,Industry and Teaching experience
38,LT9211421,Malik Owabare,Manchester,FA,Faculty - Business,01-Sep-11,Full Time,Business,Ian Varley,Doctorate,Ph.D in Business Administration,Business Policy Development,De Montfort Universityersity,"BUS2303 - Financial Management
CSD2033 - International Conventions
BUS3406 - Work Related Learning
BSD2067 - Business Work Placement
BUS2103 - Operations Management",E-Businessor Management,Industry and Teaching experience
39,LT9003154,Roger Watkins,Manchester,FA,Faculty - Business,04-Nov-13,Full Time,Business,Ian Varley,Masters,Masters in Quality Management,Quality Management,Universityersity of Wollongong,"BUS4583 - ISO Standards and Excellence
LSH2203 - Critical Thinking
BUS3406 - Work Related Learning",Quality Management,Industry and Teaching experience
40,LT9210954,Boris Meadows,Manchester,FA,Faculty - Business,29-Aug-10,Full Time,Business,Ian Varley,Doctorate,Ph.D in Business Administration,Professional Studies,Middlesex Universityersity,"BUS2203 - Business Stats for Managers
BUS3406 - Work Related Learning
BUS4243 - International Trade & Finance
BUS1503 - Accounting for Managers",Strategic Organizational Developmentor Financial Management,Industry and Teaching experience
41,LT9001556,Max Rogers,Manchester,FA,Faculty - Business,25-Aug-98,Full Time,Business,Ian Varley,Masters,Master of Business Administration,Business Administration,Aston Universityersity,"BUS3003 - Managing People &Organisations
BUS3406 - Work Related Learning
BUS1003- Management and Leadership",Strategic Management or Leadership  Human Resources,Certification
42,LT9299139,Maurice Hedwell,Manchester,FA,Faculty - Business,28-Aug-14,Full Time,Business,Ian Varley,Masters,Master of Business Administration,Accounting and Finance,Universityersity of East London,"BUS2303 - Financial Management
BUS3406 - Work Related Learning
BUS4113 - Financial Accounting I
BUS4223 - Retail Finance and Banking",Maurice Hedwell,Industry and Teaching experience
43,LT9284356,Fiona Newby,Manchester,FA,Faculty - Business,01-Apr-14,Full Time,Business,Ian Varley,Masters,Master of Business Administration,Business Administration,Universityersity Of Calicut,"BUS3406 - Work Related Learning
LSS2103 - Personal Finance
BUS1503 - Accounting for Managers",Marketing Management or Accounting or Human Resource,Industry and Teaching experience
44,LT9276009,Amanda Hobson,Manchester,FA,Faculty - Business,18-Aug-13,Full Time,Business,Ian Varley,Doctorate,Ph.D in Business Administration,Business Management,University of the Sunshine Coast,"BUS2203 - Business Stats for Managers
BUS2303 - Financial Management
BUS3003 - Managing People &Organisations
BUS3406 - Work Related Learning
BSD1243 - Retail Operations",Economicsor Business Administration,Industry and Teaching experience
45,LT9004065,Amanda Hobson,London,FA,Faculty - Business,16-Sep-02,Full Time,Business,Ian Varley,Doctorate,Doctorate in Marketing,Marketing,Universityersity of Westminster,"CSD1023 - The Crime of Smuggling
BUS4563 - Strategic Marketing Management
CSD2152 - Customs Administration Project II
BUS3406 - Work Related Learning
BSD2067 - Business Work Placement
BUS1303 - Marketing","Business Administrationor
Marketing",Industry and Teaching experience
46,LT9302314,Bilal Khalid,south Africa,FA,Faculty - Business,31-Aug-14,Full Time,Business,Ian Varley,Masters,Master of Commerce,Financial Management,Universityersity Of Johannesburg,"BUS4183 - Corporate Finance
LSM1003 - Applied Mathematics
BUS4213 - Financial Quantitative Methods
BUS3406 - Work Related Learning
BUS4233 - Financial Assets and Markets
BUS4513 - Strat Decisions with Management School",Business AdminstrationorFinance and Investment Management,Industry and Teaching experience
47,LT9000673,Akbar Khan,Canada,FA,Faculty - Business,14-Aug-95,Full Time,Business,Ian Varley,Masters,Masters in Engineering,Operation Research and Management Information System.,Universityersity of Toronto,,Management Science,Certification
48,LT9308377,Soriyya Khan,United Kingdom,FA,Faculty - Business,18-Feb-15,Full Time,Business,Ian Varley,Masters,Master of Business Administration,Financial Management,The Universityersity of Hull,"LSS2533 - Research Methods
BUS3903 - Contemporary Business
BUS3406 - Work Related Learning
LSS2103 - Personal Finance",Business,Industry and Teaching experience
49,LT0000000,Bobby Mc Pherson,America,FA,Faculty - Business,14-Aug-16,Full Time,Business,Abbas Houda,Ph.D,Ph.D in Economics,Economics,"Michigan State Universityersity, USA","Micro and Macro Economics, Monetary Theory, Analysis and Finance  ",Economics,Industry and Teaching experience
50,LT0000000,Natasha MC Vey,America,FA,Faculty - Business,14-Aug-16,Full Time,Business,Ian Varley,Ph.D,Ph.D in Economics,Economics ,"Universityersity of Nebraska,USA","Micro and Macro Economics, Business Stastics, Money and Banking",Economics,Industry and Teaching experience
51,LT0000000,Roxanne  Middleditch,Cyprus,FA,Faculty - Business,14-Aug-16,Full Time,Business,Ian Varley,Ph.D,PhD in Business Administration,HRM and tourism,"Girne American Universityersity, Cyprus ","HRM, International Business, TQM, Service Quality ",Human Resource Management or Quality and Tourism,Researcher
52,LT0000000,Zak Piper,Singapore,FA,Faculty - Business,14-Aug-16,Full Time,Business,Ian Varley,Ph.D,Ph.D in Business Administration,Managerial Economics or Business Strategy,National Universityersity of Singapore,"International Business, Innovation, strategic Management, Supply chain, International Business Law",Strategic management or Supply chain or Innovation or Marketing ,Researcher
53,LT0000000,June Rayner,America,FA,Faculty - Business,14-Aug-16,Full Time,Business,Ian Varley,Ph.D,Ph.D in Business Administration,Business Management,"Nova Southeastern Universityersity, USA", Finance and Management courses,Finance and Management ,Industry and Teaching experience
54,LT0000000,Sophia Spicer,Malaysia,FA,Faculty - Business,14-Aug-16,Full Time,Business,Ian Varley,Ph.D,Ph.D in Business Administration,Finance and Islamic Banking & Finance,International Islamic Universityersity< Malaysia,"Islamic Risk Management, Islamic Insurance, Islamic Finance ",Islamic Finance and Islamic law,Researcher
55,LT0000000,Zoe Spencer,Italy,FA,Faculty - Business,14-Aug-16,Full Time,Business,Ian Varley,Ph.D,Ph.D in Business Administration,E-Business,"Universityersity of Salento, Italy","E-Business, International Business, Strategic Management",E-Businessor Management,Industry and Teaching experience
56,LT0000000,Lorenzo Spoto,France,FA,Faculty - Business,14-Aug-16,Full Time,Business,Ian Varley,Ph.D,PhD In Economic Sciences,Economics Sciences,"PaulCezannel Universityersity, France","Managerial Economics, Economics",Economics,Industry and Teaching experience
57,LT0000000,Richard Terry,France,FA,Faculty - Business,14-Aug-16,Full Time,Business,Ian Varley,Ph.D,Ph.D in Business Administration,Financial Economics ,Universityersity of Paris 1 Pantheon-Sorbonne France,"Financial Derivatives, Financial Management, Corporate Finance, Financial Markets.",Finance and Islamic Finance ,Certification or Curriculum Development
58,LT0000000,Fawne Vidler,America,FA,Faculty - Business,14-Aug-16,Full Time,Business,Ian Varley,Ph.D,Ph.D In education and Human Resources Studies,Human Resource Management and Strategic Management,"Colorada State Universityersity, USA","Quality Management, HRM Innovation Strategies, Organizational behaviour ",Human Resource Management or Quality and Innovation and Entrepreneurship ,Researcher
59,LT9305756,Vanessa Federica,Bristol,FA,Faculty - Business,05-Jan-15,Full Time,Business,Daphne Keaton,Masters,Master of Science,Taxation,Universityersity of Central Florida,"BUS4143 - IFRS
BUS3406 - Work Related Learning
BUS4123 - Auditing
BUS4163 - Taxation
BUS3203 - Strat Management Busi Simulation",Business,Industry and Teaching experience
60,LT9308852,Bernadette Winder,Bristol,FA,Faculty - Business ,08-Mar-15,Full Time,Business,Daphne Keaton,Masters,Master of Science,Strategic Management,Dublin Institute of Technology,"BUS3003 - Managing People &Organisations
BUS4533 - Int'l Quality Management System
BUS4573 - Advanced Strategic Management
BUS4373 - Strategic HRM",Business,Industry and Teaching experience
61,LT9251132,Michelle Frimpong,Bristol,FA,Faculty - Business,26-Aug-12,Full Time,Business,Daphne Keaton,Masters,Master of Business Administration,Business Administration,Universityersity of Iowa,"BUS3406 - Work Related Learning
BUS1203 - Software Apps for Business
BSD2067 - Business Work Placement
BUS4543 - Quality Management Tools
BUS2103 - Operations Management",Business,Industry and Teaching experience
62,LT9305962,Melvin Agyei,Bristol,FA,Faculty - Business,19-Jan-15,Full Time,Business,Daphne Keaton,Masters,Master of Business Administration,Business Administration,Universityersity of Phoenix,"BUS3406 - Work Related Learning
BSD1223 - Marketing Principles
BUS1303 - Marketing",Business,Industry and Teaching experience
63,LT9299170,Lily Craig-Hallam,Bristol,FA,Faculty - Business,17-Aug-14,Full Time,Business,Daphne Keaton,Masters,Master of Arts,European Business Studies,Universityersity of Ulster,"BUS2403 - Innovation & Entrepreneurship
BUS3903 - Contemporary Business",Business,Industry and Teaching experience
64,LT9259292,Kaya Gibbs,Bristol,FA,Faculty - Business,17-Aug-14,Full Time,Business,Daphne Keaton,Masters,Master of Business Administration,Business Administration,Concordia Universityersity,"BUS2203 - Business Stats for Managers
BUS3406 - Work Related Learning
BSD2067 - Business Work Placement
BUS1503 - Accounting for Managers
LSH2113 - Foundations of Leadership",Business,Industry and Teaching experience
65,LT9276937,Deepy Gurung,Bristol,FA,Faculty - Business,18-Aug-13,Full Time,Business,Daphne Keaton,Masters,Master of Business Administration,International Law and International Relations,Universityersity of New South Wales,"BUS2003 - Business and Commercial Law
LSH2113 - ",Business,Industry and Teaching experience
66,LT9301620,Tiech Shay,Bristol,FA,Faculty - Business,24-Aug-14,Full Time,Business,Daphne Keaton,Masters,Master of Business Administration,Business Administration,De la Salle Universityersity,"BUS4183 - Corporate Finance
BUS4213 - Financial Quantitative Methods
BUS4153 - Financial Accounting II
BSD2043 - Practical Accounting",Business,Industry and Teaching experience
67,LT9211589,Chloe Watson,Bristol,FA,Faculty - Business,22-Feb-15,Full Time,Business,Daphne Keaton,Masters,Master of Business Administration,Business Management,"University. of Wales, Cardiff","BUS1003 - Management and Leadership
BUS1303 - Marketing",Business,Industry and Teaching experience
68,LT9216404,Clare Allsop,Bristol,FA,Faculty - Business,30-Jan-11,Full Time,Business,Daphne Keaton,Masters,Master of Business Administration,General Management,Universityersity of Wollongong,"BUS3103 - Internat Busi Globalisation
BUS4563 - Strategic Marketing Management
BUS1403 - Business Ethics and Corporate",Business Adminstration ,Industry and Teaching experience
69,LT9012184,Lara Burgess,Bristol,FA,Faculty - Business,14-Sep-14,Full Time,Business,Daphne Keaton,Masters,Master of Business Administration,Strategic Management,Massachusetts Institute of Technolgy,"BSD2263 - Socially Responsible Retailing
BSD2023 - Software Applications II
BSD2252 - Retailing Projectect II
BUS1203 - Software Apps for Business
",Business,Industry and Teaching experience
70,LT9305841,Theresia Evans,Bristol,FA,Faculty - Business,04-Jan-15,Full Time,Business,Daphne Keaton,Doctorate,Ph.D in Business Administration,Banking,Alagappa Universityersity,"BUS4223 - Retail Finance and Banking
BUS4916 - Integrative Industry Projectect
BUS4133 - Managerial Accounting I
BUS4263 - Corp Finance and Banking",Business,Industry and Teaching experience
71,LT9252175,Falone Minsende,Bristol,FA,Faculty - Business,26-Aug-12,Full Time,Business,Daphne Keaton,Doctorate,Ph.D in Business Administration,Human Resource Management,University of Southern Mississippi,"BUS4583 - ISO Standards and Excellence
BUS4956 - Integrative Industry Projectect
BUS3003 - Managing People &Organisations
BUS3406 - Work Related Learning
BUS4513 - Strat Decisions with Management School
BSD2067 - Business Work Placement",Human Resources Management,Industry and Teaching experience
72,LT9304807,Charlote Garrod,Bristol,FA,Adjunct Faculty - Business,23-Aug-15,Full Time,Business,Daphne Keaton,Masters,Master of Business Administration,Business Administration,Institute of Banking Studies & Universityersity of Jordan,BUS2303 - Financial Management,Business,Industry and Teaching experience
73,LT9307988,Lyndon  Johnson,Bristol,FA,Faculty - Business,08-Feb-15,Full Time,Business,Daphne Keaton,Masters,Master of Business Administration,Business Administration,Universityersity of Karachi,"BUS3406 - Work Related Learning
BUS4233 - Financial Assets and Markets
LSS2103 - Personal Finance
BSD2067 - Business Work Placement
",Business,Industry and Teaching experience
74,LT9214849,Jonathan  Reid,Bristol,FA,Faculty - Business,21-Aug-11,Full Time,Business,Daphne Keaton,Doctorate,Ph.D in Business Administration,Business Management,Universityersity of Western Sydney,"BUS3903 - Contemporary Business
BUS3406 - Work Related Learning
BSD2222 - Retailing Projectect I
BUS2913 - Sustaining Cultural Identity",Managementor Tourism Management,Industry and Teaching experience
75,LT9331060,Roshene Showers,Bristol,FA,Faculty - Business,27-Sep-15,Full Time,Business,Daphne Keaton,Masters,Doctorate in Business Administration,Business Administration,"Temple Universityersity School of Law, Philadelphia","BUS2003 - Business and Commercial Law
BUS4233 - Financial Assets and Markets",Business,Industry and Teaching experience
76,LT9100850,Carlon Weller,Bristol,FA,Faculty - Business,14-Aug-11,Full Time,Business,Daphne Keaton,Masters,Master of Marketing,Marketing,The Universityersity of Newcastle,"BSD2263 - Socially Responsible Retailing
BUS3406 - Work Related Learning
BUS1403 - Business Ethics and Corporate
BSD2067 - Business Work Placement",Marketing,Industry and Teaching experience
77,LT9272822,Malilcah Williams,Bristol,FA,Faculty - Business,18-Aug-13,Full Time,Business,Daphne Keaton,Doctorate,Ph.D in Business Administration,Business Management,Madurai Kamaraj Universityersity,"BSD1233 - Ethics in a Retail Environment
BUS3003 - Managing People &Organisations
BUS3903 - Contemporary Business
",Human Resource and General Business,Industry and Teaching experience
78,LT9214746,Martin Mayock,Bristol,FA,Faculty - Business,03-Oct-10,Full Time,Business,Daphne Keaton,Masters,Master of Business,Operation Management,Universityersity of Western Sydney,"BSD2013 - Introduction to Human Resource
BUS2103 - Operations Management
BUS3203 - Strat Management Busi Simulation",Operations Management,Industry and Teaching experience
79,LT9252098,John Neilis,Bristol,FA,Faculty - Business,26-Aug-12,Full Time,Business,Daphne Keaton,Doctorate,Ph.D in Business Administration,Applied Business,Princeton Universityersity,"BUS4173 - Managerial Accounting II
BUS4113 - Financial Accounting I
LSS2103 - Personal Finance
BUS1503 - Accounting for Managers",Business,Industry and Teaching experience
80,LT9133995,Alison Goodchild,Bristol,FA,Faculty - Business,17-Aug-08,Full Time,Business,Daphne Keaton,Masters,Master of Management,Business Management,Massey Universityersity,"BUS3103 - Internat Busi Globalisation
BUS4313 - Empl Relations UAE Labour Law
BUS4243 - International Trade & Finance",Intertnational Business and Strategic Management,Industry and Teaching experience
81,LT9258148,Jason Lee,Bristol,FA,Faculty - Business,10-Feb-13,Full Time,Business,Kim Hughes,Masters,Master of Business Administration,Business Management,Universityersity of Miami,"BUS3103 - Internat Busi Globalisation
BUS3903 - Contemporary Business",Management  orStrategy & Marketing,Certification
82,LT9303270,Caroline Hasted,Bristol,FA,Faculty - Business,04-Sep-14,Full Time,Business,Kim Hughes,Masters,Master of Business Administration,Business Administration,Southern New Hampshire University.,"BUS4583 - ISO Standards and Excellence
BUS4573 - Advanced Strategic Management
BUS4373 - Strategic HRM
BUS4936 - Integrative Industry Projectect",Quality and Organizational Behavior,Industry and Teaching experience
83,LT9252172,Lynsey Fowler,Bristol,FA,Faculty - Business,26-Aug-12,Full Time,Business,Kim Hughes,Masters,Master of Law,Commericial and Corporate Law,Unversity College of London,"BUS2003 - Business and Commercial Law
LSS2003 - Creating Your Future",Corporate and Commercial Law,Certification
84,LT9304439,Chris Josinlah,Bristol,FA,Faculty - Business,21-Sep-14,Full Time,Business,Kim Hughes,Masters,Master of Business Administration,Logistics Engineering,Korea Maritime Universityersity,"BUS4553 - Strategic Supply Chain Managem
BUS3903 - Contemporary Business
BUS4543 - Quality Management Tools
BUS2103 - Operations Management",Operations Management or Quality,Industry and Teaching experience
85,LT9001671,Steve Weaver,Bristol,FA,Faculty - Business,12-Aug-99,Full Time,Business,Kim Hughes,Masters,Master of Business Administration,Business Administration,Heriot-Watt Universityersity,"BUS3003 - Managing People &Organisations
BUS4373 - Strategic HRM
BUS4353 - Int Human Resource Management
BUS4323 - Career Development Planning",Business Administration,Industry and Teaching experience
86,LT9101233,Gillian Taylor,Bristol,FA,Faculty - Business,26-Aug-09,Full Time,Business,Kim Hughes,Masters,Master of Business Administration,Business Administration,Lebanese American Universityersity,"BUS4533 - Int'l Quality Management System
BUS1003 - Management and Leadership
BUS2103 - Operations Management",Business Adminstration,Industry and Teaching experience
